id,sentence,valid_labels,your_label
1,"commit-level analysis similar to [3]}, [4]} is important because it reveals how much development activity (i.e., migration effort) is directed towards fixing vulnerabilities compare to the other tasks.","['0.0', '0.1']",
2,"there have been attempts to use extensive empirical studies to discover general rules on neural network design [1]}, [2]}, [3]}, [4]}, instead of simply showing the merits of a single neural network architecture.","['0.0', '0.1']",
3,"in particular, there has been some recent speculation about the possibility of realising a genuine “quantum switch” by coherently controlling the `spatial degree of freedom' [11]}.","['0.0', '0.1']",
4,"while deep learning has accomplished remarkable performance in many computer vision tasks, video understanding is still far from ideal.","['0.0', '0.1']",
5,traditional monitoring methods require a significant amount of human resources to analyze and understand log information compiled from a wide variety of internal and external interfaces.,"['0.0', '0.1']",
6,"thus, an area of significant promise is designing atr algorithms that utilize multiple data modalities.","['0.0', '0.1']",
7,"because the black–scholes model is a basic model for option pricing, the numerical valuation of options under this model is an active field of research, and there are a great many articles concerning this topic, such as the finite difference method studied in [1]}, higher-order spline methods designed in [2]}, [3]}, [4]}, and radial basis function approach examined in [5]}.","['0.0', '0.1']",
8,"given that the online ads, web tracking, and prevention landscape is continuously evolving, studies performed at a snapshot or longitudinally starting in the present may not comprehensively illuminate online ads/tracking to improve ad-blocking.","['0.0', '0.1']",
9,"on the modeling aspects, also, the state of the art reports several research avenues.","['0.0', '0.1']",
10,"most existing methods for multi-person pose estimation can be summarized in two ways including the top-down methods [6]}, [7]}, [8]}, [9]} and the bottom-up methods [10]}, [11]}, [12]}, [13]}, [14]}.","['0.0', '0.1']",
11,"existing works can be generally classified into two categories: direct 3d estimation and 2d-to-3d estimation [12]}, [13]}.","['0.0', '0.1']",
12,"while blockchains enable verifiable transactions and execution, there remain technical and organizational barriers for the design of decentralized applications.","['0.0', '0.1']",
13,"due to its undecidability and explosiveness, the higher-order unification problem is considered one of the main obstacles on the road to efficient higher-order tools.","['0.0', '0.1']",
14,"the original q-learning algorithm could be applied to problems with discrete state (observation) and action spaces, and suffer from the curse-of-dimensionality problem with higher dimensions and range of values.","['0.0', '0.1']",
15,"motivated by needs for interpretability [2]}, [3]}, fairness [4]}, and generalizability [5]}, as well as a basic intuition that representations should model the data correctly, a subfield has emerged which applies representation learning algorithms to synthetic datasets and checks how well representation dimensions “disentangle” the known ground-truth factors behind the dataset.","['0.0', '0.1']",
16,"based on these two assumptions, we review the literature of multi-view learning in recent years, and observe that there are still two drawbacks in many state-of-the-art multi-view learning algorithms.","['0.0', '0.1']",
17,automated vehicles (avs) hold the potential for safer high- ways and reduced pollution; yet a lack of trust could hinder their adoption [1]}.,"['0.0', '0.1']",
18,"previous algorithms usually regard the depth map as a fourth-channel input [1]}, [2]} of the original three-channel rgb image, or fuse rgb and depth features by simple summation [3]}, [4]} and multiplication [5]}, [6]}.","['0.0', '0.1']",
19,optimal class distribution may differ by innate property of the data but research shows that a balanced class distribution has an overall better performance compared to other distributions [1]}.,"['0.0', '0.1']",
20,"first, perceptual hashing-based csis is robust to only small input image modifications.","['0.0', '0.1']",
